id,nome,indirizzo,numero-civico,cap,quartiere,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione,consolato.stato,consolato.console,consolato.pec,consolato.orari.giorni,consolato.orari.apertura,consolato.orari.chiusura,consolato.orari.note,accoglienza.stelle,accoglienza.camere,accoglienza.sale_meeting,accoglienza.residences,accoglienza.descrizione,accoglienza.direttore,accoglienza.gestione,divertimento-e-ristoro.cucina,divertimento-e-ristoro.orari.giorni,divertimento-e-ristoro.orari.apertura,divertimento-e-ristoro.orari.chiusura,divertimento-e-ristoro.orari.note,divertimento-e-ristoro.informazioni,luogo-da-visitare.orari.giorni,luogo-da-visitare.orari.apertura,luogo-da-visitare.orari.chiusura,luogo-da-visitare.orari.note,luogo-da-visitare.orari.visite,luogo-da-visitare.orari.servizi,luogo-da-visitare.orari.prezzi,luogo-da-visitare.informazioni_storiche,luogo-da-visitare.note,luogo-da-visitare.gestore.nome,luogo-da-visitare.gestore.indirizzo,luogo-da-visitare.gestore.cap,luogo-da-visitare.gestore.localita,luogo-da-visitare.gestore.mobile,luogo-da-visitare.gestore.telefono,luogo-da-visitare.gestore.fax,luogo-da-visitare.gestore.email,luogo-da-visitare.gestore.web,icon
201,Il giardino di Ballarò,Via Porta di Castro,75,90134,,Palermo,"38.111814699999996,13.358567600000001",091/12215,,3391834950,ilgiardinodiballaro@gmail.com,http://www.ilgiardinodiballaro.it,accoglienza,Bed and Breakfast,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
206,Il Principe,Via Principe di Scordia,126,90139,,Palermo,"38.126455200000002,13.3597141",091/841010,,3401044143,info@bebilprincipe.com,http://www.bebilprincipe.com,accoglienza,Bed and Breakfast,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
207,In Villa,Viale delle Sirene,30,90149,,Palermo,"38.195961500000003,13.328884800000001",091/50811,,,invillabb@yahoo.it,http://www.invillabbmondello.splinder.com,accoglienza,Bed and Breakfast,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
214,La Casa dei Limoni,Piazza Giulio Cesare,9,90127,,Palermo,"38.109631,13.3663179",091/176297,,,info@lacasadeilimoni.it,http://www.lacasadeilimoni.it,accoglienza,Bed and Breakfast,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
216,La Fuitina,Via Garraffello,6,90133,,Palermo,"38.117348300000003,13.3653139",091/766501,,3471541696,info@fuitina.com,http://www.fuitina.com,accoglienza,Bed and Breakfast,,,,,,,,,1,3,,,"La Fuitina si trova in un edificio seicentesco nel vero cuore del centro storico di Palermo. Situata infatti ai margini del mercato della Vucciria, l'appartamento si affaccia su Corso Vittorio Emanuele, una delle due più antiche strade della città. Grazie alla sua posizione, Fuitina, dista a pochi minuti di passeggiata dai luoghi e i monumenti più importanti della città come Piazza Marina, lungomare del Foro Italico, Chiesa di San Francesco, i Quattro canti, la Cattedrale, La Martorana, Piazza Pretoria, Chiesa di San Domenico, Casa Professa e dagli altri storici mercati come Ballarò e Capo. Per gustare le prelibatezze della nostra terra o ascoltare della musica, basta raggiungere a piedi in pochi minuti, ristoranti, pub, teatro. Il centro storico, infatti come Corso Vittorio, Piazza Marina e la Vucciria, sono ritrovo per la vita notturna della città. L'appartamento, appena ristrutturato, dispone di una camera doppia, una tripla e di una grande camera che può contenere sino a 4 posti letto, ideale per una famiglia di quattro persone o per amici. Tutte le camere sono dotate di climatizzazione e balconi. Fuitina, inoltre, ospita due zone living; la cucina, dotata di ogni accessorio a disposizione dei clienti e dove, nella formula B&B, vengono servite ricche colazioni. Avrete anche la possibilità, di accedere ad Internet, leggere o ascoltare musica nella saletta comune. Lo staff con la sua atmosfera simpatica e informale, vi aiuterà a scorrere un buon soggiorno a Palermo. Luca & Jessica",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
218,Le Tartarughe,Via XX Settembre,70,90141,,Palermo,"38.129410800000002,13.350812899999999",091/252338,,,mabalsano@libero.it,,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,"Situata in una zona centrale ed elegante di Palermo, ottimamente servita dai mezzi pubblici, al terzo piano (con ascensore) di un edificio dei primi del Novecento, la struttura (classifica 3 stelle) è costituita da tre camere: una singola, una doppia/matrimoniale e una tripla - una vera e propria suite, con un ampio soggiorno, che dà sulle tegole e dal quale si gode una bella vista sul Monte Pellegrino. Privacy e tranquillità sono assicurate. La prima colazione, a base di prodotti locali, viene servita nell'ampia cucina dell'appartamento. La permanenza minima è di due notti; non si accettano animali, né bambini sotto i sei anni. Si parlano francese, inglese, tedesco e polacco. Si fornisce materiale informativo.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
221,Malusi,Via del Manderino,3,90147,Sferracavallo,Palermo,"38.1981562,13.2778276",,,3280367919 - 3398846933,info@malusi.it,http://www.malusi.it,accoglienza,Bed and Breakfast,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
224,Mediterraneo B&B,Via Tenente Giovanni Ingrao,2,90138,,Palermo,"38.120506800000001,13.3498062",091/574886,,3484293525 - 3357760377,info@bedmediterraneo.it,http://www.bedmediterraneo.it,accoglienza,Bed and Breakfast,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
225,Miramar,Piazza Acquasanta,12,90142,,Palermo,"38.143763900000003,13.367060499999999",091/49338,,,helgaomodei@libero.it,,accoglienza,Bed and Breakfast,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
234,Notarbartolo,Via Emanuele Notarbartolo,35,90141,,Palermo,"38.132268500000002,13.3439041",091/308333,,,info@notarbartolo.com,http://www.bed-and-breakfast-palermo.it,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
235,Notti Magiche,Via Ammiraglio Gravina,59,90139,,Palermo,"38.125520299999998,13.359657199999999",091/89714,,3382584849,info@bbnottimagiche.com,http://www.bbnottimagiche.com,accoglienza,Bed and Breakfast,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
243,Palazzo Reale,Via Cappuccini,9,90129,,Palermo,"38.111280399999998,13.349641500000001",091/24045,,3202407933,sistina1984@hotmail.com,http://www.palazzoreale.it,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
263,Ulisse,Via Cefalonia,26,90129,,Palermo,"38.107905199999998,13.346634099999999",091/531742,,368688061,bbulisse@tiscali.it,,accoglienza,Bed and Breakfast,,,,,,,,,1,,,,"Il bed & breakfast Ulisse si trova nel cuore di Palermo, a metri 100 dal centro selezione VFP1 Caserma Tukori Corso Calatafimi, in posizione centralissima, vicino al Palazzo Reale, alla Cappella Palatina, alla Cattedrale e tantissimi siti di interesse turistico e culturale. Gli interni del bed & breakfast Ulisse sono studiati per offrire il massimo dell'ospitalita' nel modo piu' semplice e discreto. La camera è molto confortevole ed arredata con gusto. Infatti è dotata di aria condizionata e riscaldamento, frigo e la possibilità di connessione ad internet.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
202,Il girasole,Via Pazienza, 33A,90151,Mondello,Palermo,"38.201448499999998,13.319730099999999",091/884225,,3292143113 - 3490509728,bbilgirasole@hotmail.it,,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
241,Palazzo Filangeri,Via Maqueda,92,90133,,Palermo,"38.112335000000002,13.363607099999999",091/166766,,,luigimendola@palazzofilangeri.it,http://www.palazzofilangeri.it,accoglienza,Bed and Breakfast,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
247,Palikè,Via Emerico Amari,140,90139,,Palermo,"38.1250286,13.357672300000001",091/86795,,,info@bbpalike.it,http://www.bbpalike.it,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
249,People,Via Cosmo Guastella,1,90127,,Palermo,"38.106362799999999,13.363226299999999",091/085830,,3286294078,prenotazioni.people@facebook.com,http://www.facebook.com/people.palermo,accoglienza,Bed and Breakfast,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
250,Pomelia,Via Saffo,23,90151,Mondello,Palermo,"38.208452100000002,13.3226703",,,3406961742,info@pomelia.com,http://www.pomelia.com,accoglienza,Bed and Breakfast,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
251,Porta di Castro,Via Porta di Castro,23,90134,,Palermo,"38.112161999999998,13.359502900000001",,,3282369433,bebportadicastro@gmail.com,,accoglienza,Bed and Breakfast,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
255,San Gabriele,Via Alloro,107,90133,,Palermo,"38.115679700000001,13.368442099999999",091/525476,,3397237060,info@bebsangabriele.com,http://www.bebsangabriele.com,accoglienza,Bed and Breakfast,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
258,Sikelia,Salita Sant'Antonio,6,90134,,Palermo,"38.116554,13.363182",,,3282727815,voccamarco@hotmail.it,http://www.sikeliabb.it,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
260,Sole Luna della solidarietà,Via Vincenzo Riolo,7,90139,,Palermo,"38.122768200000003,13.363196500000001",091/81671,,,info@solelunabedandbreakfast.org,http://www.solelunabedandbreakfast.org,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
262,The Garden,Via Sferracavallo,236,90147,Sferracavallo,Palermo,"38.197456600000002,13.2772226",091/30036,,3381875300 - 3473594039,info@bbalterrazzo.it,http://www.bbalterrazzo.com,accoglienza,Bed and Breakfast,,,,,,,,,3,2,,,"Il b&B The Garden si trova nel vecchio borgo marinaro d Sferracavallo, lungo la omonoma via, al civico n.236 ,piano terra. Le due stanze matrimoniali , ciascuna con bagno in camera , si affacciano e fruiscono di un piccolo giardino attrezzato per un relax confortevole e gradevole. Entrambe le stanze fruiscono di accesso indipendente ed autonomo adatto anche a persone diversamente abili, nonchè di area a parcheggio.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
204,Il Golfo,Via Dammuso,88,90147,Sferracavalo,Palermo,"38.200215200000002,13.2788685",,,3294243453,martafavaloro@libero.it,http://www.il-golfo.com,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,Marta Favaloro,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
209,Kemonia,Via Nicolò Turrisi, 38B,90138,,Palermo,"38.119857499999988,13.351588",348371586,,3291757509,info@kemonia.com,http://www.kemonia.com,accoglienza,Bed and Breakfast,,,,,,,,,2,,,,"Il B&B Kemonia è situato al quarto piano di un palazzo in centro con una splendida vista su villa Filippina e monte Pellegrino, a due passi è possibile visitare i monumenti simbolo della città quali: Il teatro Massimo, il teatro Politeama, il mercato antico del Capo, la Cattedrale, palazzo dei Normanni e molti altri che gravitano nella nostra zona. In zona sono presenti numerosi locali e ristoranti dove gustare la cucina tradizionale. Il parcheggio è agevole data la presenza di numerosi garage custoditi.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
211,La Bella Vita,Via Principe di Belmonte,90,90139,,Palermo,"38.124097499999998,13.357768800000001",091/434989,,3282208126,bblabellavita@hotmail.com,http://www.bblabellavita.it,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
226,Mondello Villa Alberoni,Viale Regina Elena, 1C,90151,Mondello,Palermo,"38.205905100000003,13.3250762",091/847867,,3663364914,info@bbmondello.com,http://www.bbmondello.com,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
238,Oreto Centro,Via Oreto,29,90127,,Palermo,"38.1082374,13.3662718",091/572772,,3280715971,info@bboretocentro.it,http://www.bboretocentro.it,accoglienza,Bed and Breakfast,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
239,Palazzo Amari Bajardi,Via San Cristoforo,15,90133,,Palermo,"38.113962999999998,13.364582800000001",091/162017,,,info@palazzoamaribajardi.it,http://www.palazzoamaribajardi.it,accoglienza,Bed and Breakfast,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
240,Palazzo Caputo,Via Roma,97,90133,,Palermo,"38.114033800000001,13.3648758",091/175818,,,,,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
244,Palermo Art,Via Camillo Benso Cavour,32,90133,,Palermo,"38.121802500000001,13.360480900000001",091/110009,,3386704365,info@bbpalermoart.com,http://www.bbpalermoart.it,accoglienza,Bed and Breakfast,,,,,,,,,3,,,,"L'Art Lincoln è un elegante bed and breakfast nel centro di Palermo,bellissima struttura seppure centrale molto silenziosa a breve distanza a piedi dalla stazione ferroviaria e dai mezzi pubblici. Servizi di alta qualità. Premiato per la qualità nel 2009. Terrazza fruibile dagli ospiti per rilassarsi col profumo dei fiori Le confortevoli camere hanno tutte bagno interno. Atmosfera accogliente e molto familiare ma non invadente. Il cordiale personale dell'Art Lincoln vi assisterà per l'intero soggiorno.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
248,Panormus,Via Roma,72,90133,,Palermo,"38.112831399999997,13.365415199999999",091/175826,,3293539160,info@bbpanormus.com,http://www.bbpanormus.com,accoglienza,Bed and Breakfast,,,,,,,,,3,,,,"Il nostro B&B è situato nel centro storico di Palermo in un elegante palazzo Liberty degli anni 20, dista 300 metri dalla stazione centrale ed è ben collegato all' aeroporto Falcone-Borsellino/PuntaRaisi e Trapani - Birgi ed al porto, trovandosi nelle immediate vicinanze delle fermate di autobus, pullman e metropolitana. La posizione del bed and breakfast permette inoltre di raggiungere a piedi i monumenti più importanti della città di Palermo (i 4 Canti, il teatro Massimo, il teatro Politeama, la Cattedrale, il Palazzo dei Normanni, Piazza Pretoria, Piazza Marina), i caratteristici mercati della Vucciria, Capo e Ballarò e la zona commerciale che offre una grande varietà di negozi e boutique. B&B Panormus è il bed and breakfast a Palermo ideale per soggiornare e pernottare nella città in maniera comoda e confortevole.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
254,San Francesco,Via Merlo,30,90133,,Palermo,"38.116524599999998,13.367155",091/888391 - 0918430810,,3285516242,info@sanfrancescopalermo.it,http://www.sanfrancescopalermo.it,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
264,Vado al Massimo,Via Gaetano Donizetti,19,90134,,Palermo,"38.118162599999998,13.3582038",091/085851,,3899183238,bbvadoalmassimo@hotmail.com,http://www.vadoalmassimo.com,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
188,Delle Vittorie,Via Bari,52,90133,,Palermo,"38.118046700000001,13.360642800000001",,,3348854473 - 3280124589,info@bbdellevittorie.it,http://www.bbdellevittorie.it,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
189,Dietro il Politeama,Via Giovanni di Giovanni,14,90139,,Palermo,"38.126906400000003,13.356120600000001",091/27640,,3278757682,info@dietroilpoliteama.it,http://www.dietroilpoliteama.it,accoglienza,Bed and Breakfast,,,,,,,,,3,,,,"Il B&B Dietro il Politeama sorge a pochi metri dal Teatro Politeama, Via Ruggiero Settimo e Via Libertà, nel pieno centro di Palermo. La struttura moderna e confortevole offre descrizione ampie e luminose tutte dotate di Balcone e arredate con gusto e raffinatezza. Il cliente ha la possibilità di scegliere in base alle proprie esigenze fra camere con bagno condiviso o bagno privato. In prossimità della struttura si trovano le fermate da e per gli aeroporti di Palermo e Trapani, le principali linee bus per la città e i capoluoghi siciliani. In pochi minuti a piedi è possibile raggiungere i principali siti di interesse storico e artistico ma anche i mercati storici del Capo Vucciria e Ballarò, la sera basta uscire dal B&B per avere l'imbarazzo della scelta fra i locali più moderni e alla moda e quelli più storici e caratteristici.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
191,Eureka,Via Alessio Narbone,66,90138,,Palermo,"38.1187027,13.3452158",091/791867,,3920002456,info@eurekabeb.com,http://www.eurekabeb.com,accoglienza,Bed and Breakfast,,,,,,,,,2,,,,"Il Bed and Breakfast EUREKA è situato nel centro di Palermo in via Alessio Narbone 66, vicino al Tribunale, Piazza Castelnuovo, Teatro Massimo, proprio nel cuore di Palermo in una zona ricca di negozi, di prestigiosi ristoranti, di pizzerie e di pub. A pochissimi passi dal b&b si trovano le Cliniche: Macchiarella, Demma, Noto, Orestano.L'appartamento, completamente ristrutturato, è dotato di ogni confort, una camera da letto matrimoniale, due descrizione doppie o singole e di una cucina interamente attrezzata. Le camere ampie e luminose sono arredate con gusto e dotate di aria condizionata, riscaldamento, televisione, collegamento wifi. Offriamo una ricca colazione in self service. La gestione familiare del b&b crea un'atmosfera calda ed accogliente ideale per una vacanza di piacere o un soggiorno di lavoro.Al vostro arrivo vi verranno fornite la mappa e la guida all'uso della città con tutte le informazioni per passare un piacevole soggiorno. Vi verranno forniti, inoltre, consigli per itinerari culturali, gastronomici e di svago, informazioni sulla città.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
193,Fumbi,Via Generale Arimondi Giuseppe,48,90143,,Palermo,"38.137641899999998,13.3532446",091/848925,,3472342905,info@fumbi.com,http://www.fumbi.com,accoglienza,Bed and Breakfast,,,,,,,,,2,4,,,,Giorgio Marchella,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
195,Giorgio's House,Via Antonio Mongitore,11,90134,,Palermo,"38.110306700000002,13.3569773",091/25057,,,sugi@libero.it,,accoglienza,Bed and Breakfast,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
198,Houel 30,Via Houel,30,90138,,Palermo,"38.1217799,13.3497617",091/077159,,3389143692,p.scaccianoce@tin.it,http://www.houel30.com,accoglienza,Bed and Breakfast,,,,,,,,,3,,,,".... accoglienza, cordialità, ospitalità, calore, charme, luce, storia, romanticismo, colori .... A pochi passi dal centro storico di Palermo, da Piazza Politeama, dal Teatro Massimo, da via Libertà, via Ruggero Settimo e via Roma (le vie dello shopping), il B&B Houel 30 è un'elegante struttura in cui poter trascorrere il vostro soggiorno in pieno relax. La conduzione familiare crea un rapporto cordiale e diretto con gli ospiti. Il B&B HOUEL30 L'appartamento è ubicato al quarto piano di una palazzina di fine 800(con ascensore), recentemente ristrutturato in uno stile che unisce il moderno a ricordi del passato e alla tradizione siciliana. Dal B&B, grazie alla sua posizione centrale si possono raggiungere comodamente a piedi i più importanti monumenti della città, musei e mercati quali la Vucciria, Ballarò ed il Capo. Servito da mezzi pubblici, sono facilmente raggiungibili Mondello, Sferracavallo e Monreale. La zona è servita da numerosi ristoranti e locali tipici.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
200,Il banano,Via Stesicoro,3,90151,Mondello,Palermo,"38.204872899999998,13.322488399999999",091/55926,,,info@ilbanano.com,http://www.ilbanano.com,accoglienza,Bed and Breakfast,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
203,Il Glicine sul Golfo,Via Saffo,4,90151,Mondello,Palermo,"38.208452100000002,13.3226703",091/53260,,3391343286,mondello@ilglicine.net,http://www.sicily-accomodation.com,accoglienza,Bed and Breakfast,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
130,4 Quarti,Via Vittorio Emanuele,376,90134,,Palermo,"38.114791699999998,13.3593464",091/83687,,3478547209,info@quattroquarti.it,http://www.quattroquarti.it,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,Simona Arnone Di Valentino,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
132,A casa di Giù,Via Corleo Simone,7,90124,,Palermo,"38.091263499999997,13.396824799999999",091/86455 - 3358428892,,,info@acasadigiu.com,http://www.acasadigiu.com,accoglienza,Bed and Breakfast,,,,,,,,,3,1,,,,Giuseppe Jaforte,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
133,A casa di Momò,Via Lincoln,81,90133,,Palermo,"38.112832999999988,13.3708989",,,3281770710,gandolfosausa@virgilio.it,,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
135,Abalì Gran Sultanato,Via Sant'Agostino,5,90134,,Palermo,"38.118319300000003,13.359394200000001",,,3383352997,sultano.abali@gmail.com,http://www.abali.it,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
136,Abatellis Luxury,Via Alloro,3,90133,,Palermo,"38.117164099999997,13.3719251",091/169858,,3663667370,abatellisluxury@virgilio.it,http://www.abatellisluxury.it,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
137,Afea,Via Principe di Belmonte,25,90139,,Palermo,"38.1254378,13.360877500000001",091/768392,,3331031315,info@bbafea.it,http://www.bbafea.it,accoglienza,Bed and Breakfast,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
139,Agramante,Via Terra Santa,82,90141,,Palermo,"38.130287099999997,13.3444801",091/47417,,3927225398,amministrazione@bbagramante.it,http://www.bbagramante.it,accoglienza,Bed and Breakfast,,,,,,,,,3,5,,,"Il nostro accogliente B&B si trova in una posizione centralissima. A pochi passi dal teatro Politeama, difronte alla bella Villa Trabia ed alla Chiesa di Terrasanta a fianco del cinema-teatro Golden, sede delle maggiori manifestazioni concertistiche palermitane. A 100 metri dalla stazione Metro Notarbartolo, quindi facilmente raggiungibile sia dall'aeroporto che dalla stazione ferroviaria. Zafferano, menta, anice, gelsomino, cannella e limone si respirano attraverso l'allestimento tematico delle diverse stanze e sono gli elementi a cui ciascuna di esse si ispira.In ogni stanza è stata creata un'atmosfera unica legata agli odori di Sicilia usati nella nostra cucina e radicati nelle nostre tradizioni, creando un clima particolare in cui le sensazioni divengono le forme più intense del ricordo. 3 Stelle , frigobar, Camere 5 (bagni 5) Posti letto 10",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
141,Ai Girasoli,Via Mariano Stabile,200,90141,,Palermo,"38.122190400000001,13.3560365",091/846949,,3285544026,info@aigirasoli.com,http://www.aigirasoli.weebly.com,accoglienza,Bed and Breakfast,,,,,,,,,2,4,,,,Giuseppe Marino,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
142,Ai Normanni,Via Cappuccini, ,90129,,Palermo,"38.110860299999999,13.344723500000001",,,3935447956 - 3381504260,info@ainormanni.it,http://www.ainormanni.it,accoglienza,Bed and Breakfast,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
143,Al 316,Via Vittorio Emanuele,316,90134,,Palermo,"38.1153458,13.3608929",091/763595,,,beb-centrale316@hotmail.it,http://www.316-beb.com,accoglienza,Bed and Breakfast,,,,,,,,,3,5,,,,Fabrizio Farana,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
144,Al civico 10,Via Ernesto Tricomi,10,90127,,Palermo,"38.102226399999999,13.355412899999999",,,3464768212,alcivico10@hotmail.it,http://www.alcivico10.it,accoglienza,Bed and Breakfast,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
153,Alla Vucciria,Via Coltellieri,46,90133,,Palermo,"38.118231199999997,13.363360699999999",091/511184,,3312701303,info@allavucciria.com,http://www.allavucciria.com,accoglienza,Bed and Breakfast,,,,,,,,,1,4,,,,Claudio Cutrona,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
157,Antonella,Via Orazio Antinori,33,90138,,Palermo,"38.116581799999999,13.349347699999999",091/20125,,3297633533,infobox@antonellaoddo.com,http://www.antonellaoddo.com,accoglienza,Bed and Breakfast,,,,,,,,,2,2,,,,Antonella Oddo,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
159,Art Lincoln,Via Lincoln,161,90133,,Palermo,"38.1117214,13.3686133",091/177715,,3285445482,info@bedandbreakfastpalermoart.com,http://www.bedandbreakfast-palermoart.com,accoglienza,Bed and Breakfast,,,,,,,,,3,,,,"L'Art Lincoln è un elegante bed and breakfast nel centro di Palermo, bellissima struttura seppure centrale molto silenziosa. A breve distanza a piedi dalla stazione ferroviaria e dai mezzi pubblici. Servizi di alta qualità .Premiato per la qualità nel 2009. Terrazza fruibile dagli ospiti per rilassarsi col profumo dei fiori Le confortevoli descrizione hanno tutte bagno interno. Atmosfera accogliente e molto familiare ma non invadente. Il cordiale personale dell'Art Lincoln vi assisterà per l'intero soggiorno.",,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
161,Atlante,Via Generale Luigi Cadorna,5,90134,,Palermo,"38.1087408,13.3572434",091/14777,,3336273406,info@bbatlante.com,http://www.bedandbreakfastatlante.com,accoglienza,Bed and Breakfast,,,,,,,,,2,2,,,,Emilio Aiovalasit,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
162,Atlantide,Via Piccola del Teatro Santa Cecilia,5,90133,,Palermo,"38.1136549,13.365347",091/161956,,3290670511 - 3296420099,bbatlantide@gmail.com,http://www.bbatlantide.com,accoglienza,Bed and Breakfast,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
163,Attarin,Via Lattarini Grande,17,90133,,Palermo,"38.1156188,13.3646672",091/089696,,3806876160 - 3891799762,bebattarin@gmail.com,http://www.bebattarin.com,accoglienza,Bed and Breakfast,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
164,Attic 12,Via dell'Autonomia Siciliana,51,90143,,Palermo,"38.141635600000001,13.3535386",091/42666,,3333100546,francescomorra2@tin.it,http://www.wix.com/attic12/attic-12,accoglienza,Bed and Breakfast,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
165,Az-Zahar,Via del Bersagliere,30,90143,,Palermo,"38.145615999999997,13.343768799999999",,,3290424748,info@az-zahar.it,http://www.az-zahar.it,accoglienza,Bed and Breakfast,,,,,,,,,2,2,,,,Francesca Amenta,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
166,B&B Florio,Via Giuseppe Mazzini,49,90139,,Palermo,"38.127583299999998,13.355379299999999",,,3393773444 - 3464743837,info@bbflorio.it,http://www.bbflorio.it,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
167,Baglio Judica,Cortile del Secco,3,90134,,Palermo,"38.116881600000013,13.356590199999999",,,3357909903,info@bagliojudica.it,http://www.bagliojudica.it,accoglienza,Bed and Breakfast,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
168,Balarm,Via Antonio Gagini,70,90133,,Palermo,"38.1207627,13.361795799999999",091/081575,,3490635321,info@balarm-bb.it,http://www.balarm-bb.it,accoglienza,Bed and Breakfast,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_blue
